,VARIETY,FEMALEPARENT,MALEPARENT,T_SPACRE,TRS_TON,TCA,FIBER,MSTWT,POPN,SYPCT,SCPCT,CYPCT,SWPCT,POPPCT
601,2005473,HOCP95-951,LCP85-384,9664.3744,240.532,41.28274219,NA,2.106333333,39589.6875,103.216141,90.82369985,115.8084387,110.5994978,103.8248665
602,2005474,L98-207,POLY,11276.90318,225.1014672,51.22542563,96.16327417,2.388181818,43015.5,120.4380522,84.99720658,143.7001578,125.3988177,112.8091387
603,2005900,HO94-808,L95-461,11148.37433,246,45.075525,106.1084665,1.99,46282.5,119.0653557,92.88838975,126.4481451,104.491059,121.3769213
604,2005901,HOCP95-951,LCP86-454,11745.28699,243.5,48.2472375,116.1725257,2,48778.125,125.4404214,91.94440205,135.3455936,105.0161397,127.9217553
605,2005902,HOCP95-950,HOCP96-540,10989.54194,275.3213398,40.67030772,82.8137172,1.981309524,40169.72898,117.3690156,103.9599834,114.0904065,104.0347389,105.3460387
606,2005903,HOCP94-822,HOCP96-540,13534.02275,243.596,55.45866356,74.60875372,2.559,43987.82143,144.5442345,91.98065118,155.5754512,134.3681507,115.359074
607,2005904,HOCP94-822,HOCP96-540,12104.93053,246.6518617,49.19746369,86.40771395,2.106538462,46382.2369,129.2814376,93.13452953,138.0112162,110.6102687,121.6384837
608,2005905,HOCP94-822,HOCP96-540,11777.14044,255.8566667,46.42165,99.25381203,1.883333333,49610,125.7806183,96.61021859,130.2243631,98.89019821,130.1033667
609,2005906,LCP86-454,HOCP95-908,11739.61424,223.1755556,52.58080208,95.88591821,1.985555556,53391.25,125.3798361,84.26999182,147.5023284,104.2576898,140.0197818
610,2005907,HOCP91-559,HOCP92-631,11177.28274,262,42.9383625,78.96720454,2.32,37207.5,119.3740994,98.92991103,120.4528687,121.818722,97.57752499
611,2005908,CP89-831,HOCP96-540,11683.47716,257,44.84524688,96.55949698,1.755,51273.75,124.7802885,97.04193563,125.8021573,92.15166258,134.4665893
612,2005909,CP89-831,HOCP96-540,12329.52325,243.6366667,50.21852917,101.2745483,1.927777778,52534.16667,131.6801023,91.99600671,140.8755608,101.2238902,137.772061
613,2005910,HO95-985,HOCP96-540,11331.94116,278.5,40.80800625,92.24066843,1.83,44921.25,121.0258613,105.1602299,114.4766854,96.08976782,117.8070119
614,2005911,HO94-856,HOCP92-618,14570.98475,238.7944444,61.00290625,98.97645607,2.607777778,47139.58333,155.6190555,90.16760742,171.1284415,136.9293777,123.6246421
615,2005912,HO94-856,HOCP92-618,12551.85002,229.0944444,54.87576875,99.7292794,2.443333333,45929.58333,134.0545665,86.50493514,153.9402851,128.2947173,120.4513893
